second	throughput
0	0.0
10	2211.77
20	2553.13
30	2627.1
40	2615.26
50	2621.41
59	2744.5699999999997
69	2637.96
79	2657.6800000000003
89	2644.83
99	2640.2799999999997
109	2608.51
119	2519.67
129	2632.88
139	2590.63
149	2561.9
159	2600.7200000000003
170	2586.4
180	2583.2200000000003
190	2573.09
200	2525.2000000000003
210	2432.1
220	2427.12
230	2459.48
240	2385.6
250	2357.99
260	2415.0
270	2384.7
280	2405.8
290	2424.3599999999997
300	2429.44
310	2454.5600000000004
320	2428.7
330	2399.3
340	2414.2999999999997
350	2196.79
